Badulla,2023,2	335.0,21.04
Badulla,2023,3	289.0,22.08
Badulla,2023,4	183.0,23.05
Badulla,2023,5	164.0,24.09
Badulla,2023,6	151.0,25.03
Badulla,2023,7	133.0,25.02
Badulla,2023,8	125.0,25.59
Badulla,2023,9	221.0,24.02
Badulla,2024,1	434.0,21.68
Badulla,2024,2	287.0,22.37
Badulla,2024,3	106.0,23.4
Badulla,2024,4	159.0,24.64
Badulla,2024,5	252.0,25.53
Badulla,2024,6	53.0,25.16
Bandarawela,2014,1	197.0,19.59
Bandarawela,2014,10	357.0,20.75
Bandarawela,2014,11	341.0,20.16
Bandarawela,2014,12	417.0,19.97
Bandarawela,2014,2	51.0,20.0
Bandarawela,2014,3	99.0,21.2
Bandarawela,2014,4	170.0,21.87
Bandarawela,2014,5	241.0,22.07
Bandarawela,2014,6	310.0,22.89
Bandarawela,2014,7	326.0,22.93
Bandarawela,2014,8	311.0,21.95
Bandarawela,2014,9	334.0,21.95
Bandarawela,2015,1	89.0,19.88
Bandarawela,2015,10	399.0,20.91
Bandarawela,2015,11	380.0,20.53
Bandarawela,2015,12	303.0,20.3
Bandarawela,2015,2	163.0,19.63
Bandarawela,2015,3	131.0,20.69
Bandarawela,2015,4	278.0,21.11
Bandarawela,2015,5	271.0,21.82
Bandarawela,2015,6	259.0,22.02
Bandarawela,2015,7	305.0,22.36
Bandarawela,2015,8	284.0,22.08
Bandarawela,2015,9	347.0,21.53
Bandarawela,2016,1	109.0,20.44
Bandarawela,2016,10	255.0,21.84
Bandarawela,2016,11	277.0,20.45
Bandarawela,2016,12	128.0,20.14
Bandarawela,2016,2	106.0,21.07
Bandarawela,2016,3	61.0,22.86
Bandarawela,2016,4	161.0,22.73
Bandarawela,2016,5	420.0,22.1
Bandarawela,2016,6	366.0,22.02
Bandarawela,2016,7	292.0,22.27
Bandarawela,2016,8	274.0,22.32
Bandarawela,2016,9	236.0,22.54
Bandarawela,2017,1	185.0,17.95
Bandarawela,2017,10	224.0,20.31
Bandarawela,2017,11	334.0,18.91
Bandarawela,2017,12	212.0,18.51
Bandarawela,2017,2	133.0,18.16
Bandarawela,2017,3	180.0,19.32
Bandarawela,2017,4	88.0,21.25
Bandarawela,2017,5	172.0,21.63
Bandarawela,2017,6	107.0,21.74
Bandarawela,2017,7	100.0,22.43
Bandarawela,2017,8	150.0,21.21
Bandarawela,2017,9	150.0,20.3
Bandarawela,2018,1	149.0,17.68
Bandarawela,2018,10	368.0,19.32
Bandarawela,2018,11	348.0,18.94
Bandarawela,2018,12	207.0,18.46
Bandarawela,2018,2	154.0,18.76
Bandarawela,2018,3	210.0,19.35
Bandarawela,2018,4	198.0,19.89
Bandarawela,2018,5	243.0,20.18
Bandarawela,2018,6	125.0,20.87
Bandarawela,2018,7	132.0,20.76
Bandarawela,2018,8	163.0,20.74
Bandarawela,2018,9	197.0,20.51
Bandarawela,2019,1	169.0,18.12
Bandarawela,2019,10	400.0,19.12
Bandarawela,2019,11	313.0,19.15
Bandarawela,2019,12	358.0,18.9
Bandarawela,2019,2	232.0,19.1
Bandarawela,2019,3	132.0,19.52
Bandarawela,2019,4	214.0,20.61
Bandarawela,2019,5	194.0,21.02
Bandarawela,2019,6	82.0,21.89
Bandarawela,2019,7	114.0,21.64
Bandarawela,2019,8	193.0,20.73
Bandarawela,2019,9	242.0,20.13
Bandarawela,2020,1	166.0,18.69
Bandarawela,2020,10	133.0,20.86
Bandarawela,2020,11	341.0,19.38
Bandarawela,2020,12	327.0,18.76
Bandarawela,2020,2	179.0,19.21
Bandarawela,2020,3	102.0,20.56
Bandarawela,2020,4	202.0,20.65
Bandarawela,2020,5	183.0,21.33
Bandarawela,2020,6	122.0,21.68
Bandarawela,2020,7	141.0,20.97
Bandarawela,2020,8	135.0,21.02
Bandarawela,2020,9	213.0,20.26
Bandarawela,2021,1	323.0,18.45
Bandarawela,2021,10	223.0,19.83
Bandarawela,2021,11	329.0,19.33
Bandarawela,2021,12	222.0,18.53
Bandarawela,2021,2	176.0,18.53
Bandarawela,2021,3	189.0,19.03
Bandarawela,2021,4	186.0,19.9
Bandarawela,2021,5	273.0,20.52
Bandarawela,2021,6	134.0,20.53
Bandarawela,2021,7	173.0,20.74
Bandarawela,2021,8	205.0,20.69
Bandarawela,2021,9	190.0,20.48
Bandarawela,2022,1	223.0,18.22
Bandarawela,2022,10	272.0,19.59
Bandarawela,2022,11	280.0,18.46
Bandarawela,2022,12	259.0,18.12
Bandarawela,2022,2	139.0,18.56
Bandarawela,2022,3	221.0,19.4
Bandarawela,2022,4	255.0,19.52
Bandarawela,2022,5	179.0,20.93
Bandarawela,2022,6	152.0,20.51
Bandarawela,2022,7	178.0,20.71
Bandarawela,2022,8	228.0,20.29
Bandarawela,2022,9	163.0,20.16
Bandarawela,2023,1	208.0,17.59
Bandarawela,2023,10	399.0,19.35
Bandarawela,2023,11	383.0,19.25
Bandarawela,2023,12	417.0,19.23
Bandarawela,2023,2	211.0,18.36
Bandarawela,2023,3	204.0,19.04
Bandarawela,2023,4	181.0,19.82
Bandarawela,2023,5	175.0,20.73
Bandarawela,2023,6	151.0,21.61
Bandarawela,2023,7	150.0,21.36
Bandarawela,2023,8	167.0,21.63
Bandarawela,2023,9	282.0,20.1
Bandarawela,2024,1	259.0,18.62
Bandarawela,2024,2	196.0,19.33
Bandarawela,2024,3	98.0,20.26
Bandarawela,2024,4	172.0,20.79
Bandarawela,2024,5	305.0,21.64
Bandarawela,2024,6	78.0,21.1
Batticaloa,2014,1	397.0,24.98
Batticaloa,2014,10	289.0,26.91
Batticaloa,2014,11	366.0,25.93
Batticaloa,2014,12	530.0,25.17
Batticaloa,2014,2	170.0,25.73
Batticaloa,2014,3	137.0,26.88
Batticaloa,2014,4	90.0,28.27
Batticaloa,2014,5	116.0,28.48
Batticaloa,2014,6	29.0,30.44
Batticaloa,2014,7	13.0,30.54
Batticaloa,2014,8	83.0,28.71
Batticaloa,2014,9	92.0,28.29
Batticaloa,2015,1	190.0,25.52
Batticaloa,2015,10	329.0,26.87
Batticaloa,2015,11	379.0,26.13
Batticaloa,2015,12	484.0,26.02
Batticaloa,2015,2	340.0,25.31
Batticaloa,2015,3	180.0,26.55
Batticaloa,2015,4	164.0,27.68
Batticaloa,2015,5	105.0,28.5
Batticaloa,2015,6	60.0,29.2
Batticaloa,2015,7	26.0,29.93
Batticaloa,2015,8	38.0,29.5
Batticaloa,2015,9	88.0,28.34
Batticaloa,2016,1	235.0,26.12
